Designator,Mid X,Mid Y,Rotation,Layer
_20,74.295,-115.7,0.0,top
_19,57.395,-115.7,0.0,top
_18,62.475,-115.7,0.0,top
_17,52.315,-115.7,0.0,top
_16,79.375,-115.7,0.0,top
_15,76.835,-115.7,0.0,top
_14,71.755,-115.7,0.0,top
_13,69.215,-115.7,0.0,top
_12,59.935,-115.7,0.0,top
_11,54.855,-115.7,0.0,top
_10,79.375,-88.7,0.0,top
_9,74.295,-88.7,0.0,top
_8,76.835,-88.7,0.0,top
_7,71.755,-88.7,0.0,top
_6,69.215,-88.7,0.0,top
_5,62.475,-88.7,0.0,top
_4,59.935,-88.7,0.0,top
_3,57.395,-88.7,0.0,top
_2,54.855,-88.7,0.0,top
,52.315,-88.7,0.0,top
U2,74.295,-102.2,0.0,bottom
U4,57.395,-102.2,0.0,bottom
