Designator,Mid X,Mid Y,Rotation,Layer
A,100.0,-113.595,90.0,top
B,100.0,-86.405,270.0,top
BAT,61.35,-100.0,90.0,bottom
BMS,66.35,-112.7,0.0,top
BOOT,120.0,-94.0,0.0,top
BUZZER A,92.5,-95.5,270.0,bottom
BUZZER B,107.5,-104.5,90.0,bottom
C1,82.2875,-95.25,180.0,bottom
C10,143.0,-112.0,270.0,top
C11,140.25,-111.75,90.0,top
C12,72.175,-98.25,0.0,top
C13,60.0,-93.25,180.0,top
C14,120.5,-88.75,0.0,top
C15,58.0,-90.7,90.0,bottom
C16,72.175,-87.75,180.0,top
C17,64.75,-88.25,0.0,bottom
C18,71.75,-98.5,0.0,bottom
C19,59.5,-113.75,180.0,top
C2,117.75,-101.5,90.0,top
C20,121.25,-95.5,135.0,bottom
C21,117.75,-92.25,135.0,bottom
C3,128.25,-91.0,225.0,bottom
C4,107.75,-94.25,180.0,top
C5,108.0,-97.25,0.0,top
C6,107.5,-101.0,180.0,top
C7,100.5,-104.0,0.0,top
C8,130.0,-112.0,270.0,top
C9,127.0,-111.75,90.0,top
CELL,142.75,-87.75,0.0,top
D1,94.5,-106.75,0.0,top
D2,124.25,-91.0,225.0,bottom
D3,145.625,-100.25,0.0,top
D4,51.6,-90.8,0.0,top
D5,51.6,-106.6,0.0,top
D6,57.4,-110.0,270.0,bottom
D7,66.5,-99.55,270.0,bottom
D8,66.75,-109.0,270.0,bottom
DRV,100.0,-94.75,270.0,top
ESP32,136.5,-100.212,225.0,bottom
J1,53.175,-99.98,270.0,top
Q1,78.0,-106.95,0.0,top
Q2,77.9,-99.3875,270.0,top
Q3,62.05,-108.95,90.0,bottom
Q4,72.0,-102.4375,270.0,bottom
Q5,77.9375,-92.8,180.0,top
Q6,72.15,-88.8125,270.0,bottom
Q7,72.0625,-109.0,0.0,bottom
R1,82.25,-99.0,0.0,bottom
R10,100.0,-107.0,180.0,top
R11,95.0,-100.5,180.0,top
R12,95.35,-104.0,0.0,top
R13,121.6625,-97.25,180.0,top
R14,141.25,-98.25,180.0,top
R15,147.75,-94.5,0.0,top
R16,147.75,-92.0,0.0,top
R17,63.5,-93.5,90.0,bottom
R18,67.25,-93.5,270.0,bottom
R19,78.0,-110.5,180.0,top
R2,121.5,-101.5,270.0,top
R20,77.8375,-103.0,180.0,top
R21,51.6,-92.8,0.0,top
R22,51.6,-108.8,0.0,top
R23,72.0625,-107.0,0.0,top
R24,72.0625,-110.5,180.0,top
R25,77.75,-89.25,0.0,top
R26,60.35,-89.5,180.0,top
R27,59.5,-110.25,0.0,top
R28,67.65,-105.5,0.0,bottom
R29,71.75,-94.25,0.0,bottom
R3,51.6,-97.7,0.0,bottom
R30,63.5,-108.75,180.0,top
R4,53.5,-100.0,0.0,bottom
R5,51.6,-102.4,180.0,bottom
R6,142.5,-111.25,135.0,bottom
R7,128.25,-86.5,180.0,top
R8,128.25,-88.75,180.0,top
R9,134.0,-88.5,180.0,top
RST,120.0,-106.0,0.0,top
RTC,139.0,-93.5,270.0,top
RTC_RST,130.0,-94.0,180.0,top
TP,65.5,-90.93,180.0,top
U2,128.25,-105.25,90.0,top
U3,141.5,-105.25,90.0,top
U4,72.3,-92.8875,270.0,top
