Designator,Mid X,Mid Y,Rotation,Layer
A1,100.0,-87.0,270.0,bottom
C1,71.695,-99.6,90.0,bottom
C2,94.295,-95.5,270.0,bottom
C3,133.845,-106.1425,0.0,bottom
C4,133.845,-102.1425,0.0,bottom
C5,133.845,-98.6425,0.0,bottom
D1,100.0,-97.925,0.0,top
D10,105.5,-117.55,180.0,top
D11,99.995,-87.9,90.0,top
D12,99.995,-92.9,90.0,top
D13,99.995,-100.45,0.0,top
D14,99.995,-102.975,0.0,top
D3,94.5,-108.5,0.0,top
D4,94.5,-113.0,0.0,top
D5,94.5,-117.55,0.0,top
D6,99.995,-105.5,0.0,top
D7,100.0,-113.0,270.0,top
D8,105.5,-108.5,180.0,top
D9,105.5,-113.0,180.0,top
DT1,82.0,-112.0,90.0,bottom
DT2,77.5,-112.0,90.0,bottom
DT3,73.0,-112.0,90.0,bottom
Q1,64.32,-106.1375,180.0,bottom
Q2,55.695,-105.9875,180.0,bottom
Q3,64.2825,-100.2,180.0,bottom
Q4,55.745,-100.2,180.0,bottom
Q5,121.945,-102.7675,270.0,bottom
Q6,121.445,-95.2675,270.0,bottom
Q7,127.045,-103.0175,270.0,bottom
Q8,127.045,-95.2675,270.0,bottom
R1,88.795,-97.2,0.0,bottom
R10,121.495,-98.955,180.0,bottom
R11,127.045,-107.5175,0.0,bottom
R12,127.145,-98.955,180.0,bottom
R2,139.095,-105.6425,270.0,bottom
R3,140.095,-102.3925,180.0,bottom
R4,139.095,-98.9425,90.0,bottom
R5,68.5575,-106.0875,270.0,bottom
R6,59.8575,-105.9875,90.0,bottom
R7,68.545,-100.2125,270.0,bottom
R8,59.945,-100.2,90.0,bottom
R9,121.745,-107.455,0.0,bottom
U1,100.095,-100.5,90.0,bottom
U10,113.0,-90.4,0.0,top
U11,142.605,-102.0,0.0,top
U2,57.395,-102.2,0.0,top
U3,87.0,-90.4,0.0,top
U4,74.295,-102.2,0.0,top
U5,94.9,-90.4,0.0,top
U6,87.0,-113.0,0.0,top
U7,113.0,-113.0,0.0,top
U8,105.1,-90.4,0.0,top
U9,125.705,-102.0,0.0,top
