Designator,Mid X,Mid Y,Rotation,Layer
A1,100.0,-87.0,270.0,bottom
C1,78.295,-88.9,0.0,bottom
C2,94.295,-95.5,270.0,bottom
C3,133.745,-101.9,0.0,bottom
C4,133.745,-97.9,0.0,bottom
C5,133.745,-94.4,0.0,bottom
D1,99.995,-97.65,0.0,top
D10,99.995,-87.9,90.0,top
D11,99.995,-92.9,90.0,top
D3,87.995,-100.65,0.0,top
D4,87.995,-105.15,0.0,top
D5,87.995,-109.7,0.0,top
D6,99.995,-106.0,0.0,top
D7,111.995,-100.65,180.0,top
D8,111.995,-105.15,180.0,top
D9,111.995,-109.7,180.0,top
DTEST,74.745,-105.9,180.0,bottom
Q1,65.37,-101.0375,180.0,bottom
Q2,56.745,-100.8875,180.0,bottom
Q3,65.3325,-95.1,180.0,bottom
Q4,56.795,-95.1,180.0,bottom
Q5,121.945,-100.9625,270.0,bottom
Q6,121.445,-93.4625,270.0,bottom
Q7,127.045,-101.2125,270.0,bottom
Q8,127.045,-93.4625,270.0,bottom
R1,88.795,-97.2,0.0,bottom
R10,121.495,-97.15,180.0,bottom
R11,127.045,-105.7125,0.0,bottom
R12,127.145,-97.15,180.0,bottom
R2,138.995,-101.4,270.0,bottom
R3,139.995,-98.15,180.0,bottom
R4,138.995,-94.65,90.0,bottom
R5,69.6075,-100.9875,270.0,bottom
R6,60.9075,-100.8875,90.0,bottom
R7,69.595,-95.1125,270.0,bottom
R8,60.995,-95.1,90.0,bottom
R9,121.745,-105.65,0.0,bottom
TCL5951,100.095,-100.5,90.0,bottom
U2,87.0,-90.4,0.0,top
U3,62.9,-97.68,90.0,top
U4,80.5,-105.0,0.0,top
U5,94.9,-90.4,0.0,top
U6,119.5,-105.0,0.0,top
U7,105.1,-90.4,0.0,top
U8,136.9,-97.68,90.0,top
U9,113.0,-90.4,0.0,top
