Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V, B+, B-, G, GND_6, GND_5, GND_4, GND_3, GND_2, GND, LDO_2, LDO, TX, VCC_2, VCC",TestPoint_Pad_D1.5mm,16,TestPoint_Alt,
"A, B",PinHeader_2x12_P1.27mm_Vertical,2,Conn_02x12_Odd_Even,
"BAT, BUZZER A, BUZZER B",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02_Pin,
BMS,SOT-23-6_Handsoldering,1,FS312MH,
"BOOT, RST, RTC_RST",Button_3x4x2.5,3,SW_Push,
"C1, C2",0805,2,100nF,
"C10, C3, C8",0603,3,1nF,
"C11, C14, C18, C21, C7, C9",0805,6,0.1uF,
"C12, C16",0805,2,1uF,
"C13, C19",0603,2,100nF,
"C15, C17, C20",CP_Elec_4x5.3,3,10uF,
C4,0805,1,2.2uF,
C5,0603,1,10nF,
C6,0805,1,10uF,
CELL,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02_Pin,
"D1, D3, D4, D5",0603,4,LED,
"D2, D6, D7, D8",D_SOD-323_HandSoldering,4,BAT20J,
DRV,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1,DRV8833PWP,
ESP32,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_2mm,8,MountingHole,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
PWR,Kahil Mute 6.2x6.2x7.3,1,SW_Push,
"Q1, Q4",SOT-23,2,AO3400A,
"Q2, Q3, Q5, Q6, Q7",SOT-23,5,AO3401A,
"R1, R13, R2",0603,3,10k,
"R10, R14, R21, R22",0603,4,2.2K,
"R11, R12",0603,2,300,
"R15, R16",0603,2,4.7k,
"R17, R18, R19, R20, R24, R25, R28, R29, R9",0603,9,100k,
R23,0603,1,56k,
R26,0603,1,R,
R27,0603,1,100,
"R3, R7, R8",0603,3,0,
R30,0603,1,2K,
"R4, R5",0603,2,5.1K,
R6,0603,1,499,
RTC,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,
TP,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TP4056,
"U2, U3",SOT-23-6_Handsoldering,2,74LVC1G3157,
U4,SOT-23-5,1,AP2112K-3.3,
